commodity_name,report_date,origin,avg_price,min_price,max_price,num_listings
Avocados,2023-01-03,Florida,29.5,29.5,29.5,1
Avocados,2023-01-03,Mexico,28.666666666666668,19.5,35.5,6
Avocados,2023-01-04,Florida,29.5,29.5,29.5,1
Avocados,2023-01-04,Mexico,28.666666666666668,19.5,35.5,6
Avocados,2023-01-05,Florida,29.5,29.5,29.5,1
Avocados,2023-01-05,Mexico,28.666666666666668,19.5,35.5,6
Avocados,2023-01-06,Florida,29.5,29.5,29.5,1
Avocados,2023-01-06,Mexico,27.166666666666668,18.5,33.5,6
Avocados,2023-01-09,Florida,29.5,29.5,29.5,1
Avocados,2023-01-09,Mexico,27.166666666666668,18.5,33.5,6
Avocados,2023-01-10,Florida,29.5,29.5,29.5,1
Avocados,2023-01-10,Mexico,27.166666666666668,18.5,33.5,6
Avocados,2023-01-11,Florida,29.5,29.5,29.5,1
Avocados,2023-01-11,Mexico,27.166666666666668,18.5,33.5,6
Avocados,2023-01-12,Florida,29.5,29.5,29.5,1
Avocados,2023-01-12,Mexico,27.166666666666668,18.5,33.5,6
Avocados,2023-01-13,Florida,29.5,29.5,29.5,1
Avocados,2023-01-13,Mexico,27.166666666666668,18.5,33.5,6
Avocados,2023-01-17,Florida,29.5,29.5,29.5,1
Avocados,2023-01-17,Mexico,27.166666666666668,18.5,33.5,6
Avocados,2023-01-18,Florida,29.5,29.5,29.5,1
Avocados,2023-01-18,Mexico,27.166666666666668,18.5,33.5,6
Avocados,2023-01-19,Mexico,27.166666666666668,18.5,33.5,6
Avocados,2023-01-20,Mexico,27.166666666666668,18.5,33.5,6
Avocados,2023-01-23,Mexico,27.166666666666668,18.5,33.5,6
Avocados,2023-01-24,Mexico,27.166666666666668,18.5,33.5,6
Avocados,2023-01-25,Mexico,27.166666666666668,18.5,33.5,6
Avocados,2023-01-26,Mexico,28.5,18.5,36.5,6
Avocados,2023-01-27,Mexico,28.5,18.5,36.5,6
Avocados,2023-01-30,Mexico,28.5,18.5,36.5,6
Avocados,2023-01-31,Mexico,28.5,18.5,36.5,6
Avocados,2023-02-01,Mexico,28.5,18.5,36.5,6
Avocados,2023-02-02,Mexico,28.5,18.5,36.5,6
Avocados,2023-02-03,Mexico,28.5,18.5,36.5,6
Avocados,2023-02-06,Mexico,28.5,18.5,36.5,6
Avocados,2023-02-07,Mexico,28.5,18.5,36.5,6
Avocados,2023-02-08,Mexico,28.5,18.5,36.5,6
Avocados,2023-02-09,Mexico,28.5,18.5,36.5,6
Avocados,2023-02-10,Mexico,28.5,18.5,36.5,6
Avocados,2023-02-13,Mexico,28.5,18.5,36.5,6
Avocados,2023-02-14,Mexico,28.5,18.5,36.5,6
Avocados,2023-02-15,Mexico,28.5,18.5,36.5,6
Avocados,2023-02-16,Mexico,28.5,18.5,36.5,6
Avocados,2023-02-17,Mexico,28.333333333333332,18.5,36.5,6
Avocados,2023-02-21,Mexico,28.333333333333332,18.5,36.5,6
Avocados,2023-02-22,Mexico,28.333333333333332,18.5,36.5,6
Avocados,2023-02-23,Mexico,28.5,18.5,36.5,6
Avocados,2023-02-24,Mexico,28.5,18.5,36.5,6
Avocados,2023-02-27,Mexico,28.5,18.5,36.5,6
Avocados,2023-02-28,Mexico,28.5,18.5,36.5,6
Avocados,2023-03-01,Mexico,28.5,18.5,36.5,6
Avocados,2023-03-02,Mexico,28.5,18.5,36.5,6
Avocados,2023-03-03,Mexico,28.5,18.5,36.5,6
Avocados,2023-03-06,Mexico,28.5,18.5,36.5,6
Avocados,2023-03-07,Mexico,28.5,18.5,36.5,6
Avocados,2023-03-08,Mexico,35.388888888888886,22.5,42.5,9
Avocados,2023-03-09,Mexico,35.388888888888886,22.5,42.5,9
Avocados,2023-03-10,Mexico,35.388888888888886,22.5,42.5,9
Avocados,2023-03-13,Mexico,35.388888888888886,22.5,42.5,9
Avocados,2023-03-14,Mexico,35.388888888888886,22.5,42.5,9
Avocados,2023-03-15,Mexico,35.388888888888886,22.5,42.5,9
Avocados,2023-03-16,Mexico,35.5,22.5,41.5,10
Avocados,2023-03-17,Mexico,35.5,22.5,41.5,10
Avocados,2023-03-20,Mexico,35.5,22.5,41.5,10
Avocados,2023-03-21,Mexico,35.5,22.5,41.5,10
Avocados,2023-03-22,Mexico,35.5,22.5,41.5,10
Avocados,2023-03-23,Mexico,35.5,22.5,41.5,10
Avocados,2023-03-24,Mexico,35.3,22.5,40.5,10
Avocados,2023-03-27,Mexico,34.45,21.5,40.0,10
Avocados,2023-03-28,Mexico,34.45,21.5,40.0,10
Avocados,2023-03-29,Mexico,34.45,21.5,40.0,10
Avocados,2023-03-30,Mexico,34.45,21.5,40.0,10
Avocados,2023-03-31,Mexico,34.45,21.5,40.0,10
Avocados,2023-04-03,Mexico,35.9,21.5,43.5,10
Avocados,2023-04-04,Mexico,35.9,21.5,43.5,10
Avocados,2023-04-05,Mexico,35.9,21.5,43.5,10
Avocados,2023-04-06,Mexico,35.9,21.5,43.5,10
Avocados,2023-04-07,Mexico,35.9,21.5,43.5,10
Avocados,2023-04-10,Mexico,35.9,21.5,43.5,10
Avocados,2023-04-11,Mexico,35.9,21.5,43.5,10
Avocados,2023-04-12,Mexico,37.2,24.5,43.5,10
